epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.727,0.9717,1.77518,2.16127,1.22829,0.50681,0.28558,0.2011,0.14002,0.50148,0.27061,0.18601,0.12134,0.97749,2.00308,1.84551,1.28758,0.000475353,0.000475353,0.000475353
2,63.5852,1.06686,1.79735,1.67775,1.29708,0.87501,0.17601,0.23017,0.17185,0.87311,0.17967,0.2189,0.14776,1.01882,1.79366,1.66229,1.34084,0.000932843,0.000932843,0.000932843
3,94.8395,1.03406,1.64008,1.60536,1.28751,0.64888,0.32419,0.31946,0.219,0.6471,0.32474,0.30497,0.19822,0.94671,1.50683,1.39767,1.26133,0.00137147,0.00137147,0.00137147
4,125.995,0.98388,1.63933,1.57117,1.26164,0.72606,0.32811,0.34301,0.26481,0.71088,0.32716,0.31655,0.23505,0.81278,1.28575,1.33382,1.22065,0.00134412,0.00134412,0.00134412
5,157.254,0.93765,1.54068,1.42964,1.22359,0.6599,0.30987,0.32521,0.25717,0.6497,0.29726,0.30112,0.22494,0.76061,1.39162,1.25461,1.14875,0.00131582,0.00131582,0.00131582
6,188.136,0.83222,1.38336,1.2465,1.16237,0.67917,0.29253,0.31838,0.25465,0.66993,0.28285,0.30824,0.22773,0.72504,1.24727,1.18687,1.12785,0.00128753,0.00128753,0.00128753
7,218.953,0.82382,1.28576,1.1702,1.15319,0.70086,0.36675,0.36908,0.29723,0.69578,0.36283,0.36093,0.27718,0.67622,1.12843,1.13756,1.09211,0.00125923,0.00125923,0.00125923
8,250.164,0.78596,1.2004,1.12715,1.12512,0.77932,0.35854,0.42252,0.33111,0.77547,0.35381,0.40981,0.31667,0.76253,1.10993,1.12952,1.14728,0.00123094,0.00123094,0.00123094
9,281.38,0.77674,1.20385,1.14192,1.1118,0.69942,0.39512,0.36801,0.28078,0.69636,0.39118,0.35822,0.26243,0.75249,1.15036,1.20126,1.16292,0.00120265,0.00120265,0.00120265
10,312.438,0.74242,1.12117,1.10124,1.10003,0.65049,0.39246,0.32679,0.26297,0.64922,0.38551,0.31778,0.24841,0.71343,1.1318,1.26139,1.14088,0.00117435,0.00117435,0.00117435
11,343.301,0.72508,1.15019,1.06566,1.08748,0.74079,0.46204,0.4555,0.37787,0.73568,0.46213,0.44819,0.35831,0.64523,0.97887,0.97803,1.09206,0.00114606,0.00114606,0.00114606
12,374.436,0.70112,1.06527,0.98708,1.08822,0.7525,0.42764,0.43341,0.35413,0.75627,0.43197,0.4301,0.33237,0.64035,1.0464,1.00403,1.07373,0.00111776,0.00111776,0.00111776
13,405.261,0.71088,1.05088,1.03965,1.08455,0.381,0.37031,0.38174,0.30568,0.37884,0.36548,0.37366,0.28607,0.68907,1.29158,1.17927,1.1186,0.00108947,0.00108947,0.00108947
14,436.06,0.6808,1.03067,0.93694,1.07023,0.39168,0.42314,0.39884,0.33349,0.42563,0.38472,0.39225,0.308,0.62858,1.04972,1.07035,1.06393,0.00106118,0.00106118,0.00106118
15,467.655,0.63498,0.93367,0.87255,1.03819,0.42586,0.38041,0.42592,0.35536,0.42849,0.38106,0.42,0.32934,0.63089,1.03773,1.05774,1.07479,0.00103288,0.00103288,0.00103288
16,498.737,0.62141,0.91146,0.83278,1.03502,0.77454,0.40836,0.44689,0.37187,0.77121,0.40521,0.43568,0.33894,0.56822,0.98735,0.90213,1.02428,0.00100459,0.00100459,0.00100459
17,529.492,0.6296,0.87291,0.83745,1.02998,0.39484,0.4961,0.45959,0.38973,0.40662,0.58493,0.46151,0.37445,0.59374,0.9637,0.91897,1.0407,0.000976293,0.000976293,0.000976293
18,560.536,0.60955,0.8588,0.85123,1.02709,0.8138,0.39609,0.46719,0.39603,0.81158,0.39325,0.45294,0.36205,0.56117,0.98606,0.88188,1.03802,0.000947999,0.000947999,0.000947999
19,591.354,0.59747,0.88482,0.80507,1.0173,0.38469,0.51582,0.47106,0.40902,0.38789,0.5141,0.47124,0.37419,0.5546,1.05124,0.84672,1.02683,0.000919704,0.000919704,0.000919704
20,622.486,0.59414,0.84179,0.76094,1.00613,0.38088,0.46505,0.46612,0.39891,0.38827,0.47193,0.47045,0.37609,0.56818,0.89296,0.88627,1.03171,0.00089141,0.00089141,0.00089141
21,653.454,0.58655,0.82843,0.74844,1.00493,0.41201,0.49645,0.45345,0.38437,0.41534,0.49823,0.44926,0.35764,0.57493,0.90856,0.8304,1.04099,0.000863116,0.000863116,0.000863116
22,684.429,0.57632,0.80925,0.72073,1.009,0.83859,0.41796,0.46623,0.39715,0.84939,0.42255,0.47259,0.38281,0.54836,0.92951,0.85954,1.02827,0.000834822,0.000834822,0.000834822
23,715.263,0.56082,0.79161,0.70698,0.99536,0.81954,0.41821,0.47963,0.41263,0.81884,0.41742,0.47737,0.38633,0.53729,0.90497,0.77827,1.0126,0.000806528,0.000806528,0.000806528
24,746.526,0.5746,0.8282,0.70524,1.00063,0.43383,0.45875,0.48294,0.42092,0.44897,0.44706,0.48132,0.39072,0.52276,0.89453,0.81672,1.00882,0.000778233,0.000778233,0.000778233
25,777.927,0.54776,0.74787,0.66413,0.98625,0.50293,0.47077,0.51325,0.44649,0.49545,0.47028,0.50206,0.42385,0.51864,0.85232,0.77743,1.00865,0.000749939,0.000749939,0.000749939
26,809.222,0.52299,0.73628,0.63137,0.97047,0.83762,0.43757,0.51713,0.44466,0.83664,0.43479,0.51653,0.40604,0.53392,0.81732,0.81063,1.01443,0.000721645,0.000721645,0.000721645
27,840.275,0.53445,0.74362,0.65417,0.97726,0.48907,0.47193,0.49128,0.42395,0.48684,0.46957,0.48714,0.38453,0.52649,0.83763,0.79759,0.99634,0.000693351,0.000693351,0.000693351
28,871.17,0.51735,0.71544,0.65887,0.96306,0.57311,0.48593,0.48796,0.42943,0.56291,0.47268,0.4788,0.39301,0.49243,0.8408,0.87157,0.98413,0.000665057,0.000665057,0.000665057
29,902.002,0.50882,0.71574,0.64249,0.96838,0.74289,0.45777,0.56657,0.48081,0.73802,0.45383,0.54998,0.44748,0.52554,0.96267,0.8278,1.02184,0.000636762,0.000636762,0.000636762
30,933.042,0.50494,0.67984,0.60854,0.96395,0.57225,0.50228,0.4902,0.41955,0.57073,0.50071,0.48505,0.38479,0.52494,0.91596,0.89778,1.00537,0.000608468,0.000608468,0.000608468
31,964.101,0.49625,0.6715,0.59841,0.96265,0.50076,0.48694,0.4943,0.42798,0.50076,0.48694,0.49503,0.3972,0.50975,0.85026,0.88141,0.99151,0.000580174,0.000580174,0.000580174
32,995.009,0.48921,0.7218,0.55683,0.95621,0.71712,0.51342,0.56655,0.49438,0.71441,0.51106,0.57242,0.46906,0.51005,0.88311,0.85201,0.99892,0.00055188,0.00055188,0.00055188
33,1026.89,0.48964,0.6722,0.55636,0.95198,0.64832,0.50177,0.5628,0.49927,0.64504,0.5002,0.55749,0.47033,0.4748,0.82967,0.74014,0.97419,0.000523586,0.000523586,0.000523586
34,1058.07,0.47278,0.64816,0.53758,0.9477,0.73352,0.51615,0.54687,0.47305,0.73005,0.513,0.54837,0.44194,0.49399,0.92703,0.86969,1.00244,0.000495291,0.000495291,0.000495291
35,1088.87,0.46958,0.64054,0.54375,0.94191,0.63718,0.50239,0.52766,0.46357,0.63364,0.49923,0.52222,0.43943,0.50881,0.95208,0.78399,1.02164,0.000466997,0.000466997,0.000466997
36,1119.65,0.47416,0.64824,0.53682,0.9369,0.59651,0.57433,0.56339,0.49934,0.59514,0.57275,0.5604,0.46863,0.48804,0.94425,0.75296,0.98864,0.000438703,0.000438703,0.000438703
37,1150.51,0.45849,0.61121,0.50498,0.93254,0.76749,0.57786,0.58552,0.51737,0.76389,0.57392,0.58239,0.49382,0.46323,0.94482,0.8685,0.98247,0.000410409,0.000410409,0.000410409
38,1182.19,0.45585,0.61669,0.49436,0.93949,0.69302,0.51239,0.52607,0.45614,0.68983,0.50923,0.52221,0.43464,0.5037,0.93311,0.8851,1.02452,0.000382115,0.000382115,0.000382115
39,1213.65,0.43787,0.60471,0.47474,0.92812,0.52287,0.62909,0.54295,0.48315,0.52808,0.63525,0.54662,0.45696,0.4646,0.82268,0.81821,0.98309,0.00035382,0.00035382,0.00035382
40,1244.66,0.43646,0.57658,0.47759,0.9251,0.62636,0.57097,0.56044,0.49302,0.62472,0.56939,0.55781,0.47037,0.48345,0.79853,0.74118,1.00391,0.000325526,0.000325526,0.000325526
41,1275.62,0.42719,0.57494,0.5098,0.92871,0.51876,0.62035,0.57558,0.49945,0.52166,0.61957,0.56917,0.47561,0.50269,0.84873,0.69941,1.0263,0.000297232,0.000297232,0.000297232
42,1306.27,0.42096,0.54641,0.52575,0.92233,0.58535,0.52553,0.58829,0.5322,0.62039,0.50701,0.58131,0.5022,0.46577,0.85951,0.70259,1.00394,0.000268938,0.000268938,0.000268938
43,1337.22,0.42194,0.56553,0.48781,0.92154,0.59158,0.57549,0.56167,0.50091,0.58756,0.57391,0.56043,0.4743,0.4851,0.87017,0.88161,1.0084,0.000240644,0.000240644,0.000240644
44,1367.83,0.39932,0.51103,0.45249,0.91583,0.792,0.53474,0.57781,0.5181,0.7886,0.53159,0.57414,0.49338,0.46215,0.88866,0.79993,0.99206,0.000212349,0.000212349,0.000212349
45,1398.42,0.39945,0.51979,0.43592,0.9111,0.53874,0.68123,0.6183,0.53372,0.53744,0.67965,0.61706,0.51338,0.48765,0.88083,0.69892,1.03227,0.000184055,0.000184055,0.000184055
46,1429.4,0.38718,0.50003,0.43359,0.91087,0.5518,0.61491,0.54448,0.48041,0.54946,0.61255,0.54268,0.45758,0.45947,0.90483,0.84888,0.99381,0.000155761,0.000155761,0.000155761
47,1460.05,0.39071,0.48929,0.42456,0.91709,0.6307,0.62281,0.59131,0.51149,0.62829,0.62044,0.58944,0.49219,0.443,0.86476,0.83034,0.99141,0.000127467,0.000127467,0.000127467
48,1490.7,0.38177,0.48304,0.40994,0.9075,0.72392,0.47211,0.56126,0.50478,0.72211,0.47053,0.55862,0.48119,0.461,0.96866,0.80943,1.01117,9.91726e-05,9.91726e-05,9.91726e-05
49,1521.52,0.37633,0.47477,0.39579,0.90571,0.55604,0.61973,0.58873,0.52055,0.55527,0.61894,0.58735,0.49599,0.45133,0.93088,0.78104,0.9977,7.08784e-05,7.08784e-05,7.08784e-05
50,1552.32,0.36725,0.46569,0.35667,0.89914,0.62697,0.49457,0.57453,0.51559,0.62612,0.49378,0.57316,0.49186,0.43157,0.91119,0.81115,0.98522,4.25842e-05,4.25842e-05,4.25842e-05
