epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.563803,0,0,25.3066,0,0,0,0,0,0,0,0,0,0,0,12.8047,0,2e-05,2e-05,2e-05
2,0.809039,0,0,19.7451,0,0,0,0,0,0,0,0,0,0,0,12.3516,0,5.8812e-05,5.8812e-05,5.8812e-05
3,1.19524,0,0,22.8967,0,0,0,0,0,0,0,0,0,0,0,11.9375,0,9.604e-05,9.604e-05,9.604e-05
4,1.55032,0,0,26.7873,0,0,0,0,0,0,0,0,0,0,0,11.9844,0,0.000131684,0.000131684,0.000131684
5,1.90193,0,0,21.1224,0,0,0,0,0,0,0,0,0,0,0,11.9531,0,0.000165744,0.000165744,0.000165744
6,2.23415,0,0,22.8413,0,0,0,0,0,0,0,0,0,0,0,11.9531,0,0.00019822,0.00019822,0.00019822
7,2.58713,0,0,19.5613,0,0,0,0,0,0,0,0,0,0,0,11.7422,0,0.000229112,0.000229112,0.000229112
8,2.97543,0,0,19.5723,0,0,0,0,0,0,0,0,0,0,0,354.75,0,0.00025842,0.00025842,0.00025842
9,3.92326,0,0,38.9859,0,0,0,0,0,0,0,0,0,0,0,354.75,0,0.000286144,0.000286144,0.000286144
10,4.91435,0,0,38.953,0,0,0,0,0,0,0,0,0,0,0,254.75,0,0.000312284,0.000312284,0.000312284
11,5.86961,0,0,35.2714,0,0,0,0,0,0,0,0,0,0,0,254.75,0,0.00033684,0.00033684,0.00033684
12,6.74126,0,0,36.3373,0,0,0,0,0,0,0,0,0,0,0,196.125,0,0.000359812,0.000359812,0.000359812
13,7.74233,0,0,34.4969,0,0,0,0,0,0,0,0,0,0,0,196.125,0,0.0003812,0.0003812,0.0003812
14,8.68073,0,0,32.7468,0,0,0,0,0,0,0,0,0,0,0,196.125,0,0.000401004,0.000401004,0.000401004
15,9.55834,0,0,41.9404,0,0,0,0,0,0,0,0,0,0,0,940.5,0,0.000419224,0.000419224,0.000419224
16,10.553,0,0,44.5171,0,0,0,0,0,0,0,0,0,0,0,940.5,0,0.00043586,0.00043586,0.00043586
17,11.5727,0,0,43.2701,0,0,0,0,0,0,0,0,0,0,0,940.5,0,0.000450912,0.000450912,0.000450912
18,12.6009,0,0,52.3702,0,0,0,0,0,0,0,0,0,0,0,623,0,0.00046438,0.00046438,0.00046438
19,13.4688,0,0,48.5744,0,0,0,0,0,0,0,0,0,0,0,623,0,0.000476264,0.000476264,0.000476264
20,14.4595,0,0,44.5518,0,0,0,0,0,0,0,0,0,0,0,623,0,0.000486564,0.000486564,0.000486564
21,15.5598,0,0,44.3642,0,0,0,0,0,0,0,0,0,0,0,152.5,0,0.00049528,0.00049528,0.00049528
22,16.4344,0,0,40.3075,0,0,0,0,0,0,0,0,0,0,0,152.5,0,0.000502412,0.000502412,0.000502412
23,17.4673,0,0,46.7075,0,0,0,0,0,0,0,0,0,0,0,152.5,0,0.00050796,0.00050796,0.00050796
24,18.4847,0,0,42.0599,0,0,0,0,0,0,0,0,0,0,0,152.5,0,0.000511924,0.000511924,0.000511924
25,19.4255,0,0,41.1528,0,0,0,0,0,0,0,0,0,0,0,255.375,0,0.000514304,0.000514304,0.000514304
26,20.2943,0,0,14.8598,0,0,0,0,0,0,0,0,0,0,0,255.375,0,0.0005151,0.0005151,0.0005151
27,21.3933,0,0,15.2568,0,0,0,0,0,0,0,0,0,0,0,255.375,0,0.000514312,0.000514312,0.000514312
28,22.3351,0,0,15.3596,0,0,0,0,0,0,0,0,0,0,0,255.375,0,0.00051194,0.00051194,0.00051194
29,23.3809,0,0,15.8543,0,0,0,0,0,0,0,0,0,0,0,255.375,0,0.000507984,0.000507984,0.000507984
30,24.2519,0,0,14.9388,0,0,0,0,0,0,0,0,0,0,0,176.875,0,0.000502444,0.000502444,0.000502444
31,25.3537,0,0,8.77851,0,0,0,0,0,0,0,0,0,0,0,176.875,0,0.00049532,0.00049532,0.00049532
32,26.3432,0,0,8.69392,0,0,0,0,0,0,0,0,0,0,0,176.875,0,0.000486612,0.000486612,0.000486612
33,27.2141,0,0,8.84619,0,0,0,0,0,0,0,0,0,0,0,176.875,0,0.00047632,0.00047632,0.00047632
34,28.0801,0,0,8.55462,0,0,0,0,0,0,0,0,0,0,0,176.875,0,0.000464444,0.000464444,0.000464444
35,29.1504,0,0,8.54688,0,0,0,0,0,0,0,0,0,0,0,176.875,0,0.000450984,0.000450984,0.000450984
36,30.1883,0,0,8.93581,0,0,0,0,0,0,0,0,0,0,0,56.0625,0,0.00043594,0.00043594,0.00043594
